"title_name","title_price","title_sub_title","title_mileage","title_year","title_engine_l","title_engine_type","title_localization_1","title_localization_2","title_negotiable"
"Ford Focus","850","Kombi benzyna klima","210 000 km","2000","1 596 cm3","Benzyna","Wilkowice","(Śląskie)","Do negocjacji"
"Audi TT","40 500","","40 483 km","2008","Benzyna","","Koszalin","(Zachodniopomorskie)","Do negocjacji"
"Opel Astra IV","34 600","Piękna","67 300 km","2014","1 686 cm3","Diesel","Wadowice","(Małopolskie)",""
"Hyundai ix35","42 700","2,0 Benzyna AUTOMAT Nawigacja Klimatronik Panorama dach","111 231 km","2011","1 998 cm3","Benzyna","Miechucino","(Pomorskie)","Do negocjacji"
"Audi A4 2.0","31 700","Audi A4 B8 2009r. zarejstrowana","200 000 km","2009","1 968 cm3","Diesel","Zduńska Wola","(Łódzkie)","Do negocjacji"
"Opel Zafira","5 200","Zafira 2005Rok 2.0 DTI 101 KM ""Elegance"" 7 Osobowy Nie Odpala","252 400 km","2005","1 995 cm3","Diesel","Częstochowa","(Śląskie)","Do negocjacji"
"BMW Seria 5 520i","14 500","E39 520i, zadbany","261 000 km","2001","2 171 cm3","Benzyna","Kielce","(Świętokrzyskie)","Do negocjacji"
"Volkswagen Passat 1.9","7 790","Passat b5 fl 1.9 TDI","445 382 km","2003","1 896 cm3","Diesel","Myślibórz","(Zachodniopomorskie)","Do negocjacji"
"Volkswagen Passat 2.0","10 300","Volkswagen Passat B6","357 000 km","2006","1 968 cm3","Diesel","Głowno","(Łódzkie)","Do negocjacji"
"Volkswagen Caddy","34 500","Jeden użytkownik od nowości, 2.0 TDI","186 000 km","2016","1 968 cm3","Diesel","Tychy","(Śląskie)","Do negocjacji"
"Renault Clio 1.5","14 900","renault clio","151 000 km","2016","1 461 cm3","Diesel","Warszawa","(Mazowieckie)","Faktura VAT"
"Fiat Grande Punto Gr","14 200","Fiat Grande Punto Estiva Blue&Me VAT 23% LPG","155 000 km","2010","1 368 cm3","Benzyna+LPG","Jastrzębie-Zdrój","(Śląskie)","Do negocjacji, Faktura VAT"
"Chatenet CH26","13 400","Bez Prawka L6E Na dowód Opłacony Microcar,Ligier Aixam","17 000 km","2008","505 cm3","Diesel","Zwoleń","(Mazowieckie)","Do negocjacji"
"Opel Corsa","6 900","5 dzwi 108 tys km dwa komplety kol okazja sprowadzone","105 747 km","2007","999 cm3","Benzyna","Koło","(Wielkopolskie)",""
"Renault Megane 1.2","27 900","1 Rej.2014*Renault Megane III LIFT*1.2 Benzyna116KM*Salon*1Wł.*F VAT23","143 000 km","2013","1 197 cm3","Benzyna","Warszawa","(Mazowieckie)","Do negocjacji, Faktura VAT"
"Opel Astra","27 999","1.4Turbo, super stan, niski przebieg, podgrzewana kierownica","130 000 km","2012","1 362 cm3","Benzyna","Rzeszów","(Podkarpackie)","Do negocjacji"
"Hyundai i20 1.25","14 500","Hyundai i20 1.2 Pb","127 000 km","2013","1 248 cm3","Benzyna","Piła","(Wielkopolskie)","Do negocjacji"
"Audi A4 Avant","24 899","zadbany w bardzo dobrym stanie","182 000 km","2007","1 781 cm3","Benzyna","Szprotawa","(Lubuskie)",""
"Citroën C5","5 600","Anglik, prosze czytać opis do końca","145 754 km","2008","1 997 cm3","Diesel","Poznań","(Wielkopolskie)",""
"BMW Seria 3 320d","67 000","F30 320d LIFT 2016 R. M pakiet AUTOMAT SPORT 2.0d_190 KM","235 000 km","2016","1 995 cm3","Diesel","Rzeszów","(Podkarpackie)",""
"Suzuki SX4 1.6","20 500","SX4 1.6 4x4 CAŁY ORYGINAŁ Jak Nowy 1 dziadzio Z NIEMIEC*","178 000 km","2007","1 586 cm3","Benzyna","Dynów","(Podkarpackie)","Do negocjacji"
"BMW Seria 1 116i","17 900","Lift! 5 drzwi! Xenon! Klima! Superstan! Bezwypad","112 000 km","2008","1 599 cm3","Benzyna","Swarzędz","(Wielkopolskie)","Do negocjacji"
"Chrysler New Yorker","31 000","Super cena!","99 000 km","1978","5 900 cm3","Benzyna","Stary Zamość","(Lubelskie)",""
"Mini Cooper S","22 900","R53 Kompressor / Custom Exhaust / Alcantara / Xenon / Skóra / Chrono","183 000 km","2004","1 598 cm3","Benzyna","Świebodzin","(Lubuskie)","Do negocjacji"
"Seat Ibiza","23 000","Seat Ibiza SportCoupe *FULLOPCJA*","198 770 km","2012","1 598 cm3","Diesel","Ryczywół","(Wielkopolskie)","Do negocjacji"
